,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
HHI_min_ByAgentsBasic23,0.0666811,0.0670358,0.0675279,0.0674491,0.0670841,0,0.0672859,0.0674297,0.0685634,0.0674619,0,0.0723939,0.0791061,0.135833,0.108639,0.0983728,0.129831,0.143621,0.155234,0.206698,0.187115,0.143603,0.175381,0.110127,0.139058,0.121441,0.110996,0.156252,0.134721,0.122962,0.137493,0.117717,0.189499,0.141487,0.268145,0.16384,0.205425,0.106534,0.131851,0.0820465,0.196949,0.209993,0.214971,0.100004,0.200091,0.141521,0.172974,0.14426,0.211911,0.126623,0.188015,0.167398,0.151321,0.136126,0.242759,0.163202,0.144128,0.192194,0.0795509,0.216768,0.191109,0.208391,0.196043,0.147444,0.125237,0.117437,0.121338,0.123713,0.218564,0.160317,0.187359,0.168085,0.0988309,0.154268,0.0866777,0.215837,0.132056,0.163437,0.196827,0.241541,0.176625,0.125652,0.10104,0.112345,0.0981027,0.0980484,0.102046,0.136599,0.0912848,0.287261,0.183322,0.12758,0.180015,0.175006,0.177753,0.0936789,0.137482,0.109384,0.104022,0.0959543,
HHI_q1_ByAgentsBasic23,0.0666972,0.0671064,0.0677453,0.0674968,0.0673608,0,0.104577,0.0711319,0.0689266,0.0677473,0.0792003,0.0725816,0.0798642,0.138478,0.114948,0.115309,0.130823,0.173514,0.196117,0.230843,0.209764,0.163677,0.188975,0.144287,0.187181,0.166871,0.16755,0.17449,0.181238,0.176958,0.170109,0.155981,0.202145,0.172482,0.276129,0.18501,0.214252,0.198841,0.16146,0.13378,0.28984,0.315383,0.223424,0.143306,0.221529,0.19629,0.182306,0.156278,0.22975,0.178693,0.22219,0.207828,0.173452,0.163757,0.279418,0.183208,0.160971,0.222769,0.147526,0.229008,0.213846,0.228632,0.235366,0.180789,0.156838,0.183102,0.166401,0.154573,0.271168,0.200187,0.269732,0.182018,0.14726,0.170283,0.139221,0.236283,0.159958,0.17097,0.214353,0.320271,0.216423,0.170219,0.15303,0.149162,0.142577,0.141151,0.133008,0.158324,0.139797,0.303049,0.198092,0.163871,0.185085,0.225217,0.191909,0.156525,0.161505,0.169028,0.153152,0.169243,
HHI_median_ByAgentsBasic23,0.0667166,0.0672321,0.0680837,0.0676442,0.0678328,0,0.157823,0.091627,0.0693716,0.0683057,0.180603,0.114482,0.141029,0.147895,0.12666,0.135522,0.146255,0.231131,0.238752,0.255579,0.257701,0.198872,0.231008,0.184512,0.236811,0.236262,0.231739,0.213394,0.285838,0.272074,0.224822,0.329695,0.250988,0.294919,0.325574,0.27628,0.286733,0.304469,0.218764,0.190915,0.38496,0.430337,0.247965,0.214062,0.295281,0.335137,0.24061,0.185627,0.292219,0.291815,0.303618,0.276002,0.209302,0.220213,0.332318,0.263153,0.185296,0.265464,0.2412,0.329526,0.242108,0.268,0.301182,0.291953,0.2283,0.248834,0.244603,0.191746,0.344422,0.269711,0.388041,0.233614,0.212764,0.199165,0.248412,0.326609,0.199787,0.236396,0.321936,0.399724,0.334177,0.252958,0.239417,0.230641,0.199356,0.214178,0.168219,0.255646,0.188671,0.358618,0.252278,0.304588,0.261388,0.277385,0.251614,0.280619,0.204553,0.229327,0.216919,0.269245,
HHI_q3_ByAgentsBasic23,0.06672,0.0673382,0.0682436,0.0678133,0.0680412,0,0.185227,0.131992,0.072959,0.0691619,0.216601,0.440873,0.351595,0.299009,0.160218,0.16449,0.19449,0.265615,0.280387,0.276729,0.287329,0.238435,0.30134,0.271435,0.30603,0.314458,0.436383,0.242764,0.475763,0.373987,0.468474,0.598396,0.465815,0.389579,0.41966,0.441924,0.38524,0.330859,0.276828,0.30013,0.399315,0.448064,0.35154,0.337254,0.480091,0.47168,0.343866,0.20883,0.38352,0.412569,0.387385,0.338265,0.239577,0.304109,0.410605,0.381722,0.278726,0.440345,0.332601,0.467135,0.273296,0.393528,0.349069,0.400487,0.310102,0.414225,0.399309,0.24721,0.421522,0.343577,0.487868,0.301872,0.236582,0.300112,0.443909,0.56638,0.253645,0.418429,0.515148,0.507387,0.553434,0.370033,0.314467,0.290623,0.255266,0.263219,0.225615,0.368436,0.408181,0.509234,0.446097,0.438198,0.5237,0.331533,0.502349,0.390514,0.259946,0.304634,0.24349,0.33196,
HHI_max_ByAgentsBasic23,0.06672,0.0673894,0.0682827,0.0678829,0.0680542,0.0669676,0.196676,0.155564,0.0764647,0.069745,0.230397,0.725551,0.501754,0.44335,0.188374,0.190181,0.228284,0.272375,0.32027,0.297287,0.291669,0.262876,0.343232,0.352292,0.373742,0.368694,0.633393,0.251469,0.607603,0.434779,0.690028,0.731646,0.644445,0.392795,0.472286,0.537467,0.420093,0.343928,0.307195,0.403945,0.411443,0.456225,0.439026,0.432993,0.612588,0.524145,0.398151,0.214702,0.430191,0.472272,0.4239,0.372785,0.256133,0.35918,0.472651,0.440352,0.364672,0.603105,0.398304,0.516464,0.29896,0.49993,0.370463,0.431203,0.352044,0.579549,0.520877,0.296361,0.477973,0.387789,0.551758,0.332468,0.243326,0.388192,0.582761,0.736271,0.295575,0.542569,0.618302,0.614325,0.694737,0.448936,0.35512,0.305942,0.298871,0.282335,0.278764,0.405629,0.627331,0.620067,0.600499,0.467383,0.714778,0.383724,0.707533,0.439159,0.296313,0.379287,0.255424,0.367963,
HHI_min_ByGroup_0Basic23,0.044128,0.0422601,0.0406374,0.041462,0.0409393,0,0.0204214,0.0438922,0.0370987,0.0340795,0,0.0431304,0.0411812,0.0167603,0.0166902,0.0268959,0.0259355,0.0129324,0.000151399,0.00750512,0.00056049,0.00634848,0.002366,0.00405295,0.000930027,0.000155364,0.00314236,0.0241503,0.0091957,0.00107299,0.00482048,0.00251493,0.00163352,0.000488656,0.000133625,0.00504703,0.000289254,0.000499732,0.000937874,0.00166056,0.00789779,0.00093213,0.00147081,0.00143468,0.00071088,0.0007577,0.000412428,0.0255804,0.00432961,0.00185733,0.000388911,0.000514202,0.0274093,0.000962404,0.000805119,0.000458564,0.00074106,0.00436068,0.00179183,0.00432767,0.000894643,0.00221256,0.000563825,0.000795634,0.000530549,0.00209916,0.00913152,0.000457022,0.000908093,0.00126332,0.000926811,0.000545877,0.000277962,0.000619071,0.00563897,0.00125672,0.00059963,0.0038377,0.00111152,0.00142678,0.00102286,0.000402424,0.000985741,0.000895615,0.0007061,0.000563373,0.000251188,0.00127296,0.00524821,0.00122622,0.000681431,0.00173418,0.00224998,0.000617419,0.000579974,0.00390823,0.00213966,0.000286122,0.000342249,0.000606554,
HHI_q1_ByGroup_0Basic23,0.0442058,0.0434753,0.0417874,0.0427687,0.0421546,0,0.0311323,0.0451212,0.038144,0.0361049,0.0287572,0.0450189,0.0453029,0.0173241,0.0202699,0.0279377,0.0271795,0.0743802,0.0150989,0.0140173,0.00599476,0.0123913,0.0219492,0.00862537,0.00768502,0.00738638,0.0116904,0.0439644,0.0250786,0.0216962,0.0381747,0.0166247,0.0120014,0.0261471,0.0224117,0.00731695,0.0151913,0.0207794,0.0270032,0.0292975,0.0250485,0.00388446,0.0180124,0.0342544,0.00294223,0.00968096,0.0114119,0.0316953,0.00675277,0.0166074,0.013313,0.00669453,0.0342658,0.0106814,0.00520038,0.005779,0.0244001,0.00735211,0.00891197,0.00695748,0.0120753,0.00467496,0.0084571,0.0671738,0.00958864,0.0146352,0.0194214,0.0563952,0.00537865,0.00617847,0.00336096,0.0781796,0.0279565,0.0298313,0.0257222,0.00162314,0.0657621,0.0167097,0.00205042,0.00325822,0.00184137,0.0175819,0.0350751,0.0216342,0.0460857,0.0253592,0.0261134,0.0155951,0.0357128,0.00354706,0.00285285,0.0172693,0.0155002,0.00611885,0.00120594,0.0224543,0.0604871,0.0195125,0.0322728,0.025436,
HHI_median_ByGroup_0Basic23,0.0444698,0.044715,0.045198,0.0440816,0.0434237,0,0.0762849,0.0496553,0.0419445,0.0405703,0.0642243,0.0950262,0.0585945,0.0208607,0.0716531,0.0413716,0.0373348,0.182252,0.0461517,0.0557382,0.0477409,0.0756797,0.0421629,0.0486345,0.0547625,0.055525,0.0494796,0.0725363,0.0544231,0.0532098,0.0815521,0.0642731,0.102,0.094775,0.0473627,0.0533178,0.0927098,0.0414666,0.0666122,0.0620041,0.0519208,0.018949,0.132698,0.0775207,0.0321808,0.0428963,0.0744668,0.0532151,0.0300641,0.0713146,0.0669759,0.0341744,0.0454881,0.0371483,0.0254142,0.0676324,0.0809992,0.015745,0.0389114,0.112528,0.0486499,0.0403373,0.0280784,0.171405,0.0563803,0.0671974,0.0612913,0.146946,0.020387,0.035905,0.0194426,0.173888,0.0610698,0.0640172,0.0594502,0.0319521,0.159154,0.0381422,0.0333406,0.021302,0.0878049,0.0637266,0.0772908,0.067195,0.138886,0.0625403,0.0727138,0.0337715,0.125484,0.0251622,0.0682502,0.0744084,0.102951,0.0278545,0.0384553,0.0592874,0.150429,0.0486544,0.0782682,0.0543079,
HHI_q3_ByGroup_0Basic23,0.0447403,0.0451626,0.048016,0.045641,0.0452601,0,0.153701,0.0550313,0.0476393,0.0452994,0.0719472,0.420871,0.241548,0.0555363,0.129477,0.072466,0.0664551,0.241084,0.148794,0.101506,0.0982363,0.136296,0.0819311,0.0886614,0.116101,0.0970505,0.081537,0.0843778,0.0986028,0.0903173,0.0974604,0.136055,0.188707,0.244063,0.0655297,0.145849,0.16959,0.0695485,0.134174,0.120572,0.236507,0.115285,0.247251,0.164255,0.129272,0.158581,0.157473,0.135488,0.130311,0.170448,0.17915,0.149827,0.13589,0.120523,0.140248,0.162826,0.150523,0.104394,0.137886,0.22439,0.131758,0.138899,0.116893,0.287683,0.137203,0.176529,0.151728,0.187856,0.19549,0.109224,0.109624,0.224087,0.12901,0.0933508,0.131827,0.135438,0.199243,0.103789,0.128962,0.138911,0.211028,0.153111,0.14377,0.136397,0.198103,0.128433,0.131118,0.0974418,0.184838,0.163111,0.171099,0.15772,0.181556,0.10875,0.125093,0.147589,0.200983,0.142521,0.14641,0.147903,
HHI_max_ByGroup_0Basic23,0.0448247,0.0455856,0.0485734,0.0471941,0.0470426,0.0450513,0.196676,0.0571021,0.0505788,0.0475885,0.0729601,0.698597,0.415332,0.0872391,0.139498,0.0911685,0.086664,0.253492,0.235331,0.112065,0.11242,0.139666,0.121069,0.0932516,0.137117,0.0976684,0.0843531,0.0874614,0.129321,0.116534,0.103345,0.174299,0.195785,0.350381,0.0810236,0.19465,0.183853,0.0972228,0.188193,0.17407,0.411372,0.19951,0.26366,0.240542,0.199356,0.249974,0.188424,0.202356,0.20967,0.229624,0.250585,0.24418,0.221926,0.18715,0.239264,0.201486,0.187106,0.187641,0.213981,0.233313,0.189473,0.204262,0.19398,0.366107,0.180293,0.245834,0.210585,0.194153,0.360055,0.157731,0.186158,0.256212,0.191516,0.117711,0.190559,0.208962,0.211102,0.160876,0.194232,0.240307,0.249105,0.21353,0.202122,0.180776,0.209899,0.18194,0.168784,0.157258,0.184885,0.281766,0.210722,0.199427,0.18596,0.173411,0.175107,0.217603,0.219942,0.226473,0.200487,0.237456,
