,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
TOOLMadePerActiveAgent_Basic23,0,0,0,0,0,8,11,10.3333,3.53333,2.93333,13.3333,6.73333,9.46667,10.0667,9.53333,9.86667,13.2667,7.73333,14.8667,10.2,19.5333,10,23.0667,5.8,18.7333,16.2667,9.2,18.6,14.9333,19.0667,14.2,21.6667,16.8667,20.2667,27.3333,16.6,22,7.33333,18.7333,12.7333,25.6667,18.9333,18.9333,20.4667,8.26667,25.3333,13.8667,13.3333,17.0667,20,23.8,12.4667,21.0667,8,18.1333,15.2,24.5333,13.6,13.3333,23.2,16.5333,20,8.8,26.1333,16.2667,20.2667,21.6,15.7333,17.0667,8.8,20.2667,24,14.4,18.9333,14.4,20.5333,17.0667,11.4667,21.8667,18.9333,20.5333,17.3333,20.2667,13.8667,16.8,9.86667,23.4667,14.9333,22.7333,17.2,18.8,18.6667,25.0667,6.66667,13.6,20.0667,23.1333,16.8,12.2667,21.0667,
MACHINEMadePerActiveAgent_Basic23,0,0,0,0,0,0,0,0,0,0,6.06667,1,1.13333,2.86667,3.33333,2.73333,4.26667,2.06667,4,2.8,4.86667,2.53333,5.73333,1.53333,4.73333,4.06667,2.26667,4.66667,3.73333,4.8,3.53333,5.33333,4.2,5.06667,6.93333,4.13333,5.46667,1.86667,4.66667,3.2,6.4,4.73333,4.73333,5.13333,2.06667,6.33333,3.46667,3.33333,4.26667,5,5.93333,3.13333,5.26667,2,4.53333,3.8,6.13333,3.4,3.33333,5.8,4.13333,5,2.2,6.53333,4.06667,5.06667,5.4,3.93333,4.26667,2.2,5.06667,6,3.6,4.73333,3.53333,5.2,4.26667,2.86667,5.46667,4.73333,5.13333,4.33333,5.06667,3.46667,4.2,2.46667,5.86667,3.73333,5.6,4.33333,4.73333,4.66667,6.26667,1.66667,3.4,5,5.8,4.2,3.06667,5.26667,
FACTORYMadePerActiveAgent_Basic23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.266667,0.666667,0.6,1.46667,0.666667,1.8,0.333333,1.2,1.06667,0.6,1.4,1,1.33333,0.933333,1.66667,1.4,1.06667,2,1.06667,1.46667,0.533333,1.13333,0.733333,1.6,1.13333,1.26667,1.33333,0.533333,1.46667,0.8,0.733333,1.33333,1.2,1.4,0.866667,1.26667,0.466667,1.06667,1,1.6,0.866667,0.8,1.46667,0.866667,1.4,0.533333,1.73333,1,1.26667,1.33333,1,1.06667,0.6,1.2,1.66667,0.866667,1.06667,0.933333,1.33333,1.06667,0.6,1.4,1.26667,1.33333,1.06667,1.2,0.933333,1.06667,0.6,1.4,0.933333,1.46667,1.06667,1.2,1.13333,1.6,0.4,0.8,1.26667,1.4,1.13333,0.733333,1.33333,
INDUSTRYMadePerActiveAgent_Basic23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666667,0,0.0666667,0.0666667,0.0666667,0,0.0666667,0,0.133333,0.266667,0.2,0.266667,0.333333,0.2,0.333333,0,0.266667,0.133333,0.266667,0.266667,0.2,0.2,0.0666667,0.333333,0.133333,0.2,0.0666667,0.2,0.4,0.0666667,0.266667,0.0666667,0.333333,0.266667,0.266667,0.0666667,0.133333,0.266667,0.266667,0.2,0.0666667,0.333333,0.133333,0.333333,0.2,0.133333,0.266667,0.0666667,0.266667,0.266667,0.133333,0.266667,0.133333,0.266667,0.2,0.2,0.266667,0.0666667,0.266667,0.266667,0.266667,0.0666667,0.2,0.133333,0.333333,0.133333,0.2,0.266667,0.133333,0.333333,0.266667,0,0.2,0.266667,0.333333,0.133333,0.0666667,0.333333,
DEVMACHINEMadePerActiveAgent_Basic23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DEVFACTORYMadePerActiveAgent_Basic23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TOOLMadeByGroup0_Basic23,0,0,0,0,0,7.5,11.2,10.2,3.8,2.9,13.6,5.6,8.8,11.3,9.2,9.5,15.5,10.1,17.3,11.6,27.2,10.8,28.1,7.3,24.2,22.8,9.6,18.3,11.5,18.9,14.4,20.6,17.6,23.1,31.9,14.5,26.1,10,18,9.7,24.2,22.6,15.9,17,7.2,27.2,14.9,2.8,13.1,18.1,26.7,16.7,16.9,7.8,19.8,15,24.2,12.1,13.2,18.7,14.3,18.6,9.3,25.5,19.8,18.4,16.9,13.5,19.7,6.1,21,23,18,19.4,6.8,22.4,12.8,4.7,22.1,19.2,20.9,20.5,18.8,12.8,13.4,9.7,25.8,14.9,15.7,18.8,19.1,15.6,20.6,7.1,16,16.1,17.3,22.7,13.9,22.7,
MACHINEMadeByGroup0_Basic23,0,0,0,0,0,0,0,0,0,0,6.6,0.8,0.9,4,3.5,2.3,3.9,1.7,3.8,3,5.2,2.4,6.2,1.7,5.4,4.8,2.2,4.3,2.7,4.9,3.4,5.1,4.4,5.8,8.2,3.6,6.6,2.6,4.6,2.6,6.2,5.7,4,4.3,1.8,6.9,3.8,0.7,3.3,4.6,6.7,4.3,4.4,2.2,5.1,3.8,6.1,3.2,3.4,4.7,3.8,4.7,2.4,6.4,5,4.7,4.3,3.4,5,1.6,5.3,5.8,4.6,4.9,1.8,5.6,3.2,1.2,5.7,4.9,5.3,5.2,4.8,3.3,3.5,2.5,6.5,3.8,4,4.8,4.8,4,5.2,1.9,4.1,4.1,4.4,5.8,3.6,5.7,
FACTORYMadeByGroup0_Basic23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1,0.6,0.5,1.3,0.3,1.6,0.1,1.1,1.1,0.6,1.3,0.7,1.3,0.8,1.7,1.8,1.3,2.5,1,1.8,0.8,1.1,0.6,1.6,1.3,1.2,1.1,0.5,1.6,1,0.2,1.1,1.1,1.6,1.2,1.2,0.5,1.1,1,1.7,0.8,0.8,1.2,0.8,1.4,0.6,1.8,1.2,1.2,1.1,0.9,1.4,0.4,1.3,1.7,1.1,1.2,0.5,1.5,0.8,0.2,1.5,1.4,1.4,1.3,1.2,0.9,0.9,0.6,1.6,1,1.1,1.2,1.3,1,1.3,0.5,1,1.1,1,1.6,0.9,1.5,
INDUSTRYMadeByGroup0_Basic23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.4,0.4,0.1,0.4,0,0.2,0.1,0.3,0.3,0.1,0.1,0.1,0.4,0.1,0,0.1,0.2,0.5,0.1,0.1,0.1,0.3,0.2,0.2,0.1,0.1,0.2,0.3,0.1,0.1,0.2,0.2,0.3,0.2,0.1,0.3,0,0.3,0.2,0.2,0.3,0,0.3,0.1,0.1,0.3,0.1,0.2,0.3,0.2,0.1,0.1,0.1,0.4,0.2,0,0.3,0.2,0.2,0.2,0,0.3,0.1,0.3,0.2,0.1,0.3,
