,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
TOOLpercentResGatheredWith_Basic23,0,0,0,0,0,1,0.976331,0.910311,0.935334,0.936521,0.0782209,0.0745791,0.0695452,0.0466285,0.0214119,0.0191535,0.00242326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MACHINEpercentResGatheredWith_Basic23,0,0,0,0,0,0,0,0,0,0,0.921779,0.925421,0.930455,0.953371,0.978588,0.980846,0.744265,0.196274,0.209227,0.200738,0.0497649,0.022046,0.00513974,0.00706591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FACTORYpercentResGatheredWith_Basic23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253312,0.803726,0.790773,0.799262,0.950235,0.977954,0.955081,0.824422,0.441018,0.50235,0.634557,0.965776,0.611754,0.394556,0.545076,0.183721,0.108305,0.238475,0.0316337,0.136433,0.0817936,0.0835385,0.166173,0.221312,0.198491,0.144125,0.258896,0.141828,0.111541,0.0789284,0.155755,0.236418,0.148494,0.157894,0.152439,0.163981,0.109895,0.118416,0.0992978,0.107329,0.150437,0.133151,0.116866,0.174191,0.152594,0.131791,0.11109,0.11822,0.120609,0.142526,0.125574,0.11716,0.0931795,0.137481,0.0894046,0.13824,0.102237,0.181229,0.155112,0.0969059,0.117965,0.172312,0.101143,0.100394,0.112724,0.10468,0.117626,0.139409,0.113292,0.127888,0.0960125,0.183955,0.206731,0.121926,0.0940703,0.136664,0.166817,0.124261,0.0836697,0.156903,0.190653,0.0968563,0.104048,0.0981948,
INDUSTRYpercentResGatheredWith_Basic23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397794,0.168512,0.558982,0.49765,0.365443,0.034224,0.388246,0.605444,0.454924,0.816279,0.891695,0.761525,0.968366,0.863567,0.918206,0.916461,0.833827,0.778688,0.801509,0.855875,0.741104,0.858172,0.888459,0.921072,0.844245,0.763582,0.851506,0.842106,0.847561,0.836019,0.890105,0.881584,0.900702,0.892671,0.849563,0.866849,0.883134,0.825809,0.847406,0.868209,0.88891,0.88178,0.879391,0.857474,0.874426,0.88284,0.90682,0.862519,0.910595,0.86176,0.897763,0.818771,0.844888,0.903094,0.882035,0.827688,0.898857,0.899606,0.887276,0.89532,0.882374,0.860591,0.886708,0.872112,0.903987,0.816045,0.793269,0.878074,0.90593,0.863336,0.833183,0.875739,0.91633,0.843097,0.809347,0.903144,0.895952,0.901805,

TOOLpercentResGatheredWith_Basic23,0,0,0,0,0,1,0.815015,0.962987,0.813592,0.857204,0.873759,1,1,1,1,1,1,1,0.200577,0.180907,0.0619946,0.0440726,0.0980367,0.00231256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MACHINEpercentResGatheredWith_Basic23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.799423,0.819093,0.938005,0.955927,0.901963,0.997687,0.674295,0.62507,0.160553,0.290591,0.0488855,0.0358256,0.0334458,0.00458482,0.0174308,0.0192909,0.00585321,0.00449832,0.00121855,0.00270009,0.00242214,0.00691157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FACTORYpercentResGatheredWith_Basic23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325705,0.37493,0.839447,0.709409,0.951114,0.964174,0.966554,0.995415,0.982569,0.980709,0.507557,0.654798,0.556371,0.440071,0.362689,0.506955,0.0849001,0.183939,0.255742,0.140113,0.0972504,0.0966292,0.104793,0.149977,0.0899524,0.122985,0.199785,0.145375,0.0882603,0.135541,0.209151,0.164594,0.103195,0.0774868,0.140023,0.207315,0.125794,0.0884056,0.142409,0.254632,0.120598,0.123693,0.13454,0.311577,0.258511,0.141684,0.11723,0.205728,0.259071,0.1699,0.104877,0.240261,0.268414,0.172295,0.154578,0.218639,0.247887,0.189637,0.12701,0.162249,0.205044,0.206767,0.175358,0.159265,0.194111,0.180277,0.193251,0.164252,0.257693,0.230567,0.190327,0.140238,0.217306,0.238029,0.102685,0.150317,
INDUSTRYpercentResGatheredWith_Basic23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48659,0.340704,0.442411,0.557229,0.634889,0.486133,0.9151,0.816061,0.744258,0.859887,0.90275,0.903371,0.895207,0.850023,0.910048,0.877015,0.800215,0.854625,0.91174,0.864459,0.790849,0.835406,0.896805,0.922513,0.859977,0.792685,0.874206,0.911594,0.857591,0.745368,0.879402,0.876307,0.86546,0.688423,0.741489,0.858316,0.88277,0.794272,0.740929,0.8301,0.895123,0.759739,0.731586,0.827705,0.845422,0.781361,0.752113,0.810363,0.87299,0.837751,0.794956,0.793233,0.824642,0.840735,0.805889,0.819723,0.806749,0.835748,0.742307,0.769433,0.809673,0.859762,0.782694,0.761971,0.897315,0.849683,

