,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
giniPerAgent,,0.00373827,0.00514051,0.00599309,0.00939459,0.0120465,0.0145971,0.0160573,0.0175391,0.0269332,0.0270727,0.0325382,0.0305865,0.0364431,0.0410251,0.0385809,0.0398381,0.0455959,0.0529148,0.058703,0.0633367,0.0654862,0.0691102,0.0726636,0.0803738,0.0927526,0.0992125,0.0990342,0.101223,0.100922,0.0914336,0.0932366,0.102062,0.112492,0.116935,0.118599,0.123755,0.131096,0.129379,0.123162,0.121497,0.123269,0.121705,0.118844,0.11941,0.126363,0.120876,0.110882,0.0975025,0.0981456,0.107398,0.110134,0.108594,0.106178,0.112689,0.114334,0.115248,0.119256,0.117054,0.109129,0.103375,0.110064,0.111612,0.117527,0.117444,0.115019,0.10886,0.110647,0.118065,0.127149,0.122002,0.125699,0.127735,0.12751,0.12414,0.111984,0.106376,0.103084,0.103149,0.108718,0.112287,0.115086,0.11858,0.116559,0.117586,0.119795,0.123848,0.119173,0.113177,0.108941,0.112195,0.10748,0.106721,0.110827,0.113642,0.110767,0.106103,0.112593,0.122497,,
giniByGoup 0,,0.00391909,0.00561429,0.00652605,0.00776564,0.00775962,0.0101156,0.0128109,0.013976,0.0235741,0.0236599,0.0287232,0.0234821,0.0286759,0.0259182,0.0262686,0.0215922,0.0262393,0.0304735,0.0310236,0.0312872,0.031755,0.0301568,0.0294547,0.0274323,0.0261989,0.0273561,0.0257178,0.0284373,0.0246189,0.0201918,0.0312638,0.0369566,0.0379071,0.0429734,0.0434687,0.0328213,0.0291621,0.026189,0.0264623,0.0295567,0.03439,0.0315722,0.0260673,0.0176253,0.0223148,0.026273,0.0234659,0.0160938,0.0122111,0.0145637,0.0201004,0.0210009,0.0196236,0.0211951,0.0184732,0.0145029,0.0195162,0.021961,0.0163226,0.0115989,0.013147,0.0147135,0.017348,0.0155546,0.0135561,0.009881,0.0172036,0.0282845,0.03188,0.0197258,0.01735,0.0159639,0.020906,0.0245874,0.0196479,0.01718,0.0208332,0.0177484,0.0202033,0.0123958,0.0132089,0.0176666,0.0170113,0.0212637,0.0214298,0.0192096,0.0174461,0.011482,0.00946961,0.012726,0.0125971,0.0168493,0.0163428,0.0161548,0.0207908,0.0127733,0.0118911,0.0137462,,
giniByGoup 1,,0.00289671,0.00341778,0.00393669,0.00808923,0.0101675,0.0126253,0.00859333,0.00617836,0.0159375,0.0254456,0.0360701,0.0358352,0.0208112,0.0207752,0.0240686,0.0219882,0.0173473,0.011435,0.00405492,0.0138803,0.0375324,0.0544561,0.0400439,0.0146604,0.0322642,0.0344746,0.0208113,0.0107273,0.0177022,0.0118021,0.0202789,0.0385542,0.051816,0.0527545,0.0513864,0.0481246,0.0591209,0.0555529,0.0459381,0.0210249,0.0223294,0.0257517,0.0369405,0.0480851,0.0471697,0.0383991,0.0357464,0.0348308,0.0333899,0.0348673,0.0386178,0.0286032,0.0279207,0.0230316,0.0249545,0.0349386,0.0427606,0.0408753,0.0223399,0.0251547,0.0395525,0.035563,0.0268232,0.019603,0.014031,0.0253851,0.0212447,0.0220599,0.0393384,0.0422654,0.0469682,0.0446755,0.0468994,0.0426165,0.0237356,0.0224048,0.0249443,0.0310154,0.0325647,0.0312139,0.0303212,0.0227066,0.035879,0.0293554,0.0369207,0.0419294,0.048343,0.0435149,0.0329633,0.0268417,0.0316001,0.0316607,0.0364097,0.0267146,0.0287381,0.0264267,0.0304408,0.0178672,,

giniPerAgent,,0.00343247,0.00446527,0.00566151,0.00813323,0.0107423,0.0144497,0.014968,0.0170275,0.0191403,0.0221844,0.0244117,0.0290379,0.0330244,0.0392658,0.0445158,0.049557,0.0553446,0.0636157,0.074567,0.0768758,0.0774041,0.0843919,0.0887573,0.0946902,0.0940635,0.0958427,0.100872,0.0979111,0.102963,0.106525,0.119205,0.128872,0.139929,0.145132,0.143879,0.140392,0.144381,0.14326,0.131699,0.115859,0.116337,0.117914,0.115726,0.112533,0.117987,0.12558,0.132525,0.137444,0.141534,0.146606,0.151532,0.158383,0.159263,0.155115,0.152486,0.149033,0.154262,0.153873,0.155705,0.157824,0.166763,0.164435,0.164368,0.16125,0.163665,0.158692,0.147782,0.138609,0.138437,0.143922,0.141447,0.130967,0.130653,0.131869,0.128601,0.124633,0.128428,0.130863,0.122703,0.118892,0.123278,0.13743,0.140558,0.138415,0.133701,0.133726,0.134573,0.139251,0.137585,0.135907,0.12803,0.123885,0.120098,0.125468,0.127241,0.126875,0.130268,0.136718,,
giniByGoup 0,,0.00402598,0.00491085,0.00511608,0.00670046,0.00962326,0.0143976,0.0155967,0.0165285,0.0134886,0.0133208,0.0138076,0.0158336,0.0154524,0.0137302,0.0118342,0.00991609,0.00728987,0.00920119,0.0128728,0.0130897,0.0153979,0.018187,0.0209408,0.0276808,0.0263961,0.0312019,0.034243,0.035185,0.0306702,0.0279369,0.0344104,0.0451011,0.0508136,0.0481459,0.0395383,0.031792,0.0377024,0.0393078,0.0334105,0.0362013,0.0474945,0.0491703,0.0477976,0.0512001,0.047981,0.0431521,0.0351109,0.0317665,0.0303389,0.0246533,0.0221478,0.0234265,0.02721,0.0291145,0.0241632,0.020845,0.0191435,0.0261959,0.0224896,0.0263,0.0297783,0.0254281,0.0265018,0.0231259,0.0186384,0.0134287,0.0163724,0.0210139,0.0225996,0.0277138,0.0279598,0.0195473,0.0114637,0.0118509,0.0114381,0.0174813,0.0238397,0.0241231,0.0219364,0.0193765,0.0107225,0.0124606,0.0125111,0.0171034,0.0244474,0.025974,0.0238611,0.0197596,0.0154775,0.0131073,0.017155,0.0200451,0.0191944,0.0182538,0.0156091,0.0174827,0.0196608,0.0203562,,
giniByGoup 1,,0.00129979,0.00319935,0.00629345,0.00999806,0.0114024,0.0135201,0.0116565,0.0114965,0.00819412,0.011799,0.0128146,0.0142058,0.00766477,0.0044019,0.00243867,0.00226911,0.00610975,0.0107367,0.0128985,0.00805153,0.00872899,0.011157,0.0116465,0.00743977,0.0131724,0.0102227,0.0207896,0.0190358,0.0124322,0.0129477,0.0169666,0.0139406,0.0125743,0.0147435,0.0208017,0.0295098,0.0265787,0.0349317,0.0436366,0.02852,0.0334318,0.0250267,0.0198301,0.030217,0.0510491,0.0616303,0.0702706,0.0872766,0.096994,0.0922485,0.0848703,0.0919922,0.0974661,0.0946833,0.0811135,0.0678922,0.0706868,0.0743032,0.0658794,0.056475,0.0655324,0.0705741,0.0713915,0.0581863,0.0526467,0.0488698,0.0458206,0.0341344,0.0420798,0.0529796,0.0604697,0.047414,0.0330848,0.02115,0.0196845,0.0202702,0.0268555,0.0287744,0.0194312,0.0202263,0.0289027,0.035994,0.0399856,0.0431291,0.0335985,0.0269277,0.0268421,0.0354836,0.0346576,0.0238424,0.0120121,0.0122286,0.0178722,0.0152328,0.0154903,0.0251385,0.0396371,0.0355033,,

giniPerAgent,,0.00450054,0.00641501,0.00690025,0.00758371,0.00721624,0.00760246,0.0114567,0.0181683,0.0218369,0.0257777,0.0301092,0.0343385,0.0577927,0.0654231,0.0722106,0.0585431,0.0609919,0.0604737,0.058012,0.0564153,0.0565399,0.0673123,0.0742658,0.0808322,0.0838072,0.0915353,0.0933471,0.0930172,0.0944283,0.0992983,0.109975,0.116766,0.118083,0.109785,0.107453,0.108179,0.11373,0.113229,0.113869,0.111938,0.110851,0.111579,0.116371,0.115341,0.10717,0.103572,0.108195,0.113358,0.112737,0.109186,0.111781,0.113309,0.112313,0.114529,0.117001,0.123245,0.122673,0.119012,0.113011,0.117398,0.119829,0.113846,0.106966,0.105309,0.105873,0.104804,0.103465,0.109708,0.115203,0.113817,0.109778,0.105652,0.111396,0.109839,0.105915,0.101775,0.111398,0.118644,0.111669,0.102623,0.104703,0.110623,0.111244,0.102228,0.0995178,0.107387,0.111586,0.109964,0.100749,0.106665,0.114702,0.112689,0.107084,0.108684,0.109108,0.107461,0.103333,0.103667,,
giniByGoup 0,,0.00443111,0.00615474,0.00664231,0.00594151,0.00429196,0.00390898,0.00631322,0.00884591,0.00772008,0.00617271,0.00792187,0.00929542,0.0251864,0.0238721,0.0259943,0.0234719,0.02747,0.0251678,0.0203986,0.0177394,0.0113798,0.0119287,0.0207179,0.0218666,0.0250244,0.0259723,0.0240815,0.0291095,0.0307632,0.0370854,0.0420342,0.0528902,0.0562158,0.0489172,0.0394309,0.0391476,0.0427466,0.058507,0.0615182,0.0613768,0.0531459,0.0373287,0.0305957,0.0271913,0.0240456,0.0199413,0.0266143,0.028961,0.0274865,0.0276343,0.0307214,0.036885,0.0361124,0.0382802,0.0315331,0.0369684,0.0368322,0.0407864,0.0310166,0.0279282,0.0251778,0.0246054,0.0270719,0.0280866,0.0324613,0.0297618,0.0334805,0.0244089,0.0287708,0.0301309,0.0314408,0.0289225,0.033489,0.0331008,0.0338389,0.0331815,0.0352135,0.0361794,0.0288575,0.0251844,0.0267937,0.0306777,0.0302044,0.0230677,0.0230169,0.0237664,0.0231814,0.0217067,0.0208156,0.0248675,0.0324742,0.0323886,0.026575,0.0184319,0.0180464,0.0193365,0.0257302,0.028347,,
