,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
meanUtilPerAgent,7409,9424.13,10616.3,11389.3,12011.4,12432.7,12388.6,12898.7,14300.9,15339.3,14495,17850.9,19591.5,20958.7,22149.7,23454.9,24397.1,28211.9,29983.5,32860.5,35244.1,38522.8,39987.9,43902.7,45987,48423.7,49765.1,49201.8,49574.1,49602.3,50585.7,52201.3,53777.1,53923.6,54828,55833.5,57006.6,60852.9,60732.9,61378.3,59972.1,60686.7,59904.7,60445.1,62768.7,61875.2,62880.1,62035.1,62154.6,61734.1,61164.5,62903.7,62696.1,65122.8,65304.4,65419.9,64015.1,64481.9,65237.5,63471.9,63547.6,63042.2,65110.9,63256.5,64291.5,63337.9,62413.1,63216.8,63962.3,65280.7,65030.6,63550.3,64925.6,64868.6,64413.7,64472.4,63800.1,64075.2,63858,63929.4,63476.5,64191.5,63669.9,64442.1,64258.9,65604.3,65151.9,65441.7,63313.8,63856,64054.8,63370.3,61641.9,64502.2,66129.1,64717.4,62840.1,64296.7,65652.6,65395.5,
meanUtilByGroup_0_Basic23,7409,9450,10616.8,11383.3,11965.3,12273.7,12193.2,12777.4,14075.1,15014.9,14178.3,17805.4,19502.6,20083,21137.8,22604.3,23722.8,26564.9,28296.1,30903.7,32217.2,35720.7,37796.7,40297.5,41157.2,42863.5,43276.3,42726.3,43338.5,42559,43883,47219.7,47098.8,45837.9,47501.3,48285.6,48065.9,50133.4,50513.8,51730,50739.4,50244.9,50554.7,51415.7,52669.9,51635,51965.2,53650.2,54280.2,53896.7,52243,52665.7,54692.4,55753.6,55240.7,55075.1,54112.8,54270.7,54634.6,54479.5,54380.9,54014,54726.9,53694.5,53281.7,52765.8,53235.2,54208.5,53401.3,54756.4,54206.3,53366.2,53335.1,53237.1,54771.1,54150.6,54532.3,55783.2,55084.2,54532,53999,53439.1,53560.6,53959.6,54567.7,55076.8,54252.2,54342.5,54605.3,54039.3,53724.3,53818.5,53685.9,54782.6,55138.5,55044.8,54811.7,53950.2,54040.5,53724.4,
meanUtilByGroup_1_Basic23,7409,9372.4,10615.2,11401.2,12103.6,12750.8,12779.4,13141.4,14752.6,15988.2,15128.4,17941.8,19769.2,22710,24173.4,25156.2,25745.8,31506,33358.2,36774.2,41297.8,44127,44370.2,51113.2,55646.6,59544.2,62742.8,62152.8,62045.4,63689,63991,62164.4,67133.6,70095,69481.4,70929.4,74888,82292,81171,80674.8,78437.6,81570.4,78604.8,78504,82966.2,82355.6,84709.8,78805,77903.4,77408.8,79007.6,83379.6,78703.4,83861.2,85431.8,86109.6,83819.8,84904.2,86443.4,81456.6,81881,81098.6,85878.8,82380.6,86311.2,84482.2,80768.8,81233.4,85084.4,86329.2,86679.2,83918.6,88106.6,88131.6,83698.8,85116,82335.6,80659.2,81405.6,82724.2,82431.6,85696.2,83888.4,85407.2,83641.2,86659.2,86951.2,87640.2,80730.8,83489.4,84715.8,82473.8,77554,83941.4,88110.4,84062.6,78897,84989.8,88876.8,88737.8,

meanUtilPerAgent,7409,9370.33,10580.3,11494.1,12129.3,12521.3,12992.5,13050.1,14005.6,14791.4,15419.2,14243.5,16867.6,17638.1,18490.3,19148.6,19677.7,20260.7,21963.7,23016.1,24429.8,25710.7,26543.9,27681.7,29889.5,31490.9,33527.3,35438.8,37534.9,40656.1,42700.3,44917.3,46330.5,47223.6,49426.9,49614.1,50529.3,51600.5,51543.9,51698.4,52513.9,54275.6,55251.7,57353.3,60094.3,60999.2,63277.8,63462.3,62895.4,63669.5,64183.7,64198.1,65062.7,65971.3,64949.3,64723.9,65435.1,65535.1,65571.5,65428.3,66898.5,67283.1,66765.4,64515.9,65762.9,65169.4,65589.7,64282.5,63257.7,64058.1,63789,63905.3,61251.1,62321.1,63951.2,63286.3,60338.7,63081.7,64586.5,63425.9,61444.5,61905.5,61820,64252.9,62846.1,63813.5,63747.8,62634.3,62143,62654.7,62848.5,64293.7,62017,62019.8,61270.2,62332.1,62790.9,63186.6,62830.9,64656.6,
meanUtilByGroup_0_Basic23,7409,9362.9,10573,11490.4,12138.6,12556.6,12959.4,13057.9,13853.4,14545,15041.2,13875.9,16431.2,16940,17597.5,18009.3,18334.1,18740.8,20038.6,20737.9,21584.3,23088.2,23947.8,23822.9,26382.8,27783.5,29074.7,31201.8,32695.2,35832.4,36150.6,38201.2,38736.3,38670.2,39946.3,40112.1,41141.9,42175.3,41143.1,42791.1,45450.8,46940.1,46940.9,49064.7,52169.5,53510.3,53145.1,52816.1,52637.3,52439.4,52518.6,51478.3,51582.7,52429.3,52457.8,52584.8,51639.4,52992.6,51689.6,52643,52769.2,52375.4,51808.2,51388.7,51352.1,50510,50805.3,50947.7,52318.3,52175.6,51109.5,52277.7,50948.2,51437.2,50970.2,51791.6,50639.9,52019.1,52732.9,52602.1,52377.2,51341.6,49505.3,51202.6,51398.2,52330,52487.8,51087.7,50496.6,50227.3,51260.4,52001.1,51859.8,52072.3,50705.9,50409.6,51948.6,52989.5,50702.2,51534,
meanUtilByGroup_1_Basic23,7409,9385.2,10594.8,11501.4,12110.8,12450.8,13058.6,13034.6,14310,15284.2,16175.2,14978.6,17740.4,19034.4,20275.8,21427.2,22364.8,23300.4,25814,27572.4,30120.8,30955.8,31736,35399.4,36902.8,38905.6,42432.4,43912.8,47214.2,50303.6,55799.6,58349.4,61519,64330.4,68388.2,68618,69304,70450.8,72345.6,69513,66640,68946.6,71873.2,73930.4,75944,75977,83543.2,84754.6,83411.6,86129.6,87513.8,89637.6,92022.6,93055.4,89932.2,89002,93026.4,90620.2,93335.4,90998.8,95157.2,97098.4,96679.8,90770.4,94584.6,94488.2,95158.4,90952.2,85136.6,87823.2,89148,87160.6,81857,84089,89913.2,86275.6,79736.2,85206.8,88293.6,85073.6,79579,83033.4,86449.4,90353.6,85741.8,86780.4,86267.8,85727.6,85435.8,87509.4,86024.8,88878.8,82331.4,81914.8,82398.8,86177.2,84475.4,83580.8,87088.4,90901.8,

meanUtilPerAgent,7409,9358.2,10577.7,11401.7,12071.5,12533.7,12937.2,13260.4,13167.7,14092.3,14824.1,15128.9,15848.1,17348.8,18732.1,20836,22242,23354.7,24400.1,26845.5,28199.8,29606.9,31096.2,32878.2,36506.9,36782.5,38573.4,40420.9,42632,43867.9,46245.4,48830.6,50841.9,51430.6,52034.9,51747.9,53187.7,53907.3,54852.3,55108.3,53736.7,54861.9,57970.2,60168.7,60817.2,59214.7,59186.1,60513.8,62323.3,62832.9,61248.1,60516.7,64503.7,63268.5,61869.4,62866.3,63540.5,64872.6,64024.8,63440.1,64141.3,67105.2,65007.1,62412.8,63606,65562.3,64592,62951,62776,65619.7,65357.6,63660.9,63983.5,64643.6,65422.4,63871.1,64790.7,64802.5,66412.1,65875,63919.7,64505.7,64927.2,65990.6,65188.9,63746.7,65481.9,65914.7,64514.1,64255.8,65499.7,66875.9,65511.2,63819,64955.9,66076,64802.9,65000.1,64298.5,65231.5,
meanUtilByGroup_0_Basic23,7409,9363.2,10593.4,11365.6,12038.2,12455.8,12864.2,13106.9,12910.8,13701.2,14374.6,14500.3,15175.3,16537.5,16658.9,19301.6,20464.9,22047.9,22585.5,24807.3,26471,27202.5,28468.9,29343.6,33046.8,32848.2,34355.7,35289.4,37454.5,39127.2,40401.2,42503.7,43375.5,44426.6,45246.5,45451.9,45230.9,46730.9,47432.1,48340.5,46962.5,48640.7,50450.9,50882.6,51175.5,51400.7,51512,51615.7,53091.6,52708.8,52316,52444.2,54593.4,54136.8,52986.4,53366.6,53385.9,53927.9,54139.6,54812.6,54177.5,55520.9,55026.8,54096,54854.4,56161,56124.3,54249.5,54293.1,54996.2,55004.3,55186.7,55583.7,55267,55232.4,55734,56859.6,55533.6,55303.1,55820.4,56018,55934.9,54804.9,56182.8,56386,55838.4,56469,54490.9,55235.1,55991.6,56597.6,55973.1,55713.6,55610.8,55373.5,55031.5,55893.2,56159.4,55600.9,56318.8,
