,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
TOOL_timeGatheringWithDevicePerActiveAgent_Basic23,0,0,0,0,0,387.133,287.133,250.8,419.867,434,19.5333,84.6,73.4,50.2,24.6,23.8667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MACHINE_timeGatheringWithDevicePerActiveAgent_Basic23,0,0,0,0,0,0,0,0,0,0,68.5333,334.4,313.133,289.4,328.8,346.867,251.733,238.667,163.867,189,49.3333,26.5333,6.4,18.9333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FACTORY_timeGatheringWithDevicePerActiveAgent_Basic23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7333,205.133,149.067,220.733,221.467,411.4,233.6,478.333,269.867,323.667,427.133,321.867,355.067,271.267,334.333,157.4,144.667,196.467,25.6,150.333,92.2,158.6,151.867,218.933,120.8,144.8,186.8,141,198.667,78.8,193.8,226.8,153.667,154.4,126.467,196.4,108.733,189.067,126.933,146.867,126.8,179.333,167.733,139.733,172.333,134.133,187.733,105.667,151.2,152.067,119.4,138.467,127.133,200.133,108.4,123.8,143,155.333,175.933,107.533,154.4,205.333,100.667,129.467,124.333,135.267,121.933,173.467,142.267,187.733,89.8,183.867,144.867,150.267,121.067,152.8,118.933,199.333,126.667,147.733,140.867,125.8,159.533,104.867,
INDUSTRY_timeGatheringWithDevicePerActiveAgent_Basic23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,16.6667,59.2667,58,38.4,1.8,31.8667,60.0667,55.2667,116,197.733,114.467,185.667,222.6,205.933,346.2,200.067,208.4,148.133,203,169.533,202.667,292.333,195.733,234.533,201.8,227.8,196.267,172.6,249.267,225.467,314.467,244.667,259.733,172.6,250.467,270.6,175.8,221.867,210.267,302.533,171.8,246.067,197.667,216.2,271.267,258.867,289.467,241.467,178.667,279.867,209.733,246.333,237.8,235.2,253.333,228,238.8,224.933,250.067,229.067,254.8,252.267,292,223.4,233.267,178.733,234.6,251.333,216.733,176.6,319.933,306.267,206.667,175.4,268.533,289.867,238.867,
TOOL_timeGatheringWithDeviceByGroup 0_Basic23,0,0,0,0,0,400.5,272.1,246.6,405.9,429.9,17.4,81.9,66.6,40.8,13.5,27.9,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MACHINE_timeGatheringWithDeviceByGroup 0_Basic23,0,0,0,0,0,0,0,0,0,0,47.6,371,330,225,323.4,367.3,247.3,300.3,188.2,209,47.8,23.1,9.6,28.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FACTORY_timeGatheringWithDeviceByGroup 0_Basic23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,139.8,117.2,196.8,144.9,427.7,199.9,475.6,286.5,315.6,479.3,353.9,449,337.7,377.4,220.1,206,220.2,24.6,191.7,112.9,210.4,173.1,255.6,130,161.3,207.3,187.6,279.4,99.7,225.7,315.7,196.8,191.1,131.7,198.7,145,241.9,164,196.3,155.4,237.7,210.7,182,222.5,171.4,250.4,138.5,181,201.8,158.9,169.8,162.6,261.8,140.9,154.8,173.2,161.9,239.4,128.5,220.9,272,118.7,172.5,155.7,165.7,151.9,217.1,193,236.1,97.7,200.1,184.5,187.7,159.6,205.3,148,249.4,159.9,189.3,181.2,141,206.2,124.2,
INDUSTRY_timeGatheringWithDeviceByGroup 0_Basic23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,65.7,120.4,48.8,113.3,203.6,124.6,258.3,186.3,209.4,155.5,140.7,184.7,202.2,221.2,149.4,188.2,248.7,235.1,180.5,126.9,194.5,242.4,260.8,189.5,216.3,148.7,209.2,229.2,192.4,197.5,192.1,231.9,148.9,173.5,169.5,234.3,267,189,264.4,198.6,156.4,203.3,193.8,275.3,196.2,222.3,269.6,206,188.7,189.4,178.9,217.8,222,241.6,244.4,185.4,213.4,225.3,176.8,208.1,202.5,202.3,262.6,240.7,214.4,203.5,178.9,219.9,200.1,
TOOL_timeGatheringWithDeviceByGroup 1_Basic23,0,0,0,0,0,360.4,317.2,259.2,447.8,442.2,23.8,90,87,69,46.8,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MACHINE_timeGatheringWithDeviceByGroup 1_Basic23,0,0,0,0,0,0,0,0,0,0,110.4,261.2,279.4,418.2,339.6,306,260.6,115.4,115.2,149,52.4,33.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FACTORY_timeGatheringWithDeviceByGroup 1_Basic23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.4,335.8,212.8,268.6,374.6,378.8,301,483.8,236.6,339.8,322.8,257.8,167.2,138.4,248.2,32,22,149,27.6,67.6,50.8,55,109.4,145.6,102.4,111.8,145.8,47.8,37.2,37,130,49,67.4,81,116,191.8,36.2,83.4,52.8,48,69.6,62.6,81.8,55.2,72,59.6,62.4,40,91.6,52.6,40.4,75.8,56.2,76.8,43.4,61.8,82.6,142.2,49,65.6,21.4,72,64.6,43.4,61.6,74.4,62,86.2,40.8,91,74,151.4,65.6,75.4,44,47.8,60.8,99.2,60.2,64.6,60.2,95.4,66.2,66.2,
INDUSTRY_timeGatheringWithDeviceByGroup 1_Basic23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,50,177.8,174,115.2,5.4,95.6,180.2,110.8,216.6,352.4,245.8,330.4,260.6,368.6,522,227.6,206.4,133.4,327.6,139.2,203.6,434.6,288.4,327.2,108,213.2,227.8,264,358.8,191.6,421.8,355,346.6,220.4,333,353.4,142.6,270.6,246.6,443.8,217.6,391.2,254,180,279.8,398.6,339.6,327.2,223.2,433,241.6,188.4,321,261,220.8,272,339,296,392.4,251.6,320.4,273.6,387.2,299.4,273,85.6,350.2,337.8,245.2,125.2,434.6,437.4,191.2,119.2,447.8,429.8,316.4,

TOOL timeMakingDevicesPerActiveAgent_Basic23,0,0,0,0,0,214.333,293.6,275.733,91.9333,74.7333,349.533,153.6,184.2,184.667,158.733,156.733,196.2,95.5333,170.933,111.733,195.533,104.333,226.267,54.4667,178.867,147.067,92.8667,179.6,137.4,178.333,133.733,196.8,153.4,183.267,246,149.467,198,66,168.667,115.6,231.2,170.467,170.467,184.333,74.4667,228.267,124.8,120.067,153.667,180.267,214.4,112.4,189.667,72.0667,163.467,137,221.067,122.533,120,209.133,148.867,180.133,79.2667,235.467,146.467,182.467,194.4,141.733,153.6,79.3333,182.6,216.133,129.6,170.533,129.8,184.933,153.667,103.2,197.133,170.6,184.8,156.067,182.533,124.933,151.267,88.8667,211.467,134.533,204.8,154.8,169.333,168,225.733,60,122.467,180.8,208.333,151.333,110.4,189.8,
MACHINE timeMakingDevicesPerActiveAgent_Basic23,0,0,0,0,0,0,0,0,0,0,161.6,26.7333,29.3333,75.2667,87.1333,71.9333,108.933,52.6,97.6667,62.6,98.0667,41.2,84,22.6667,61.6,45,28.2,62.8,49.8,61.6667,51.5333,84.2667,69.1333,75.0667,90.2667,50.6,63.6667,18.1333,50.2667,36.4,63.7333,52.1333,44.2667,47,22.3333,63.3333,31.5333,30.4,39.5333,47.4667,58.3333,28.2667,47.4667,18.4667,42.2,34.2,55.4,30.7333,30.2,52.2667,37.4,49.8667,22,58.9333,37.5333,45.6667,48.6,35.7333,39.5333,19.8,45.8,56.3333,32.4667,45.2,32.4,46.8,38.4,25.8,50.2,43.0667,46.2,39.0667,45.7333,31.5333,38.1333,22.4667,52.9333,33.6,50.5333,39,42.6667,42,56.4667,15,30.6,45,52.2667,37.8667,27.6,47.4,
