,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
unitsGatheredPerActiveAgent_Basic23,67,67.3333,67.3333,67.6667,68,132.733,101.4,94.4,157.733,165.933,86.9333,396,376.733,384.6,429.667,431.6,412.667,1284.6,920.533,1209.87,1332.93,1908.13,1245.2,2679.53,2827.4,3149.2,2840.93,1474.6,2223.33,2682,2559.4,2876.47,4371.6,3294.27,3702.8,4121.67,4420.07,6795.27,3803.67,4005.2,2668.13,4395.27,3190.73,3555,5896.8,3800.07,4830.67,3232.13,3916.2,3727.4,3707.27,5265.67,3575.53,6085.87,4813.13,4953,3390.13,4912.2,5163.2,2957.67,4277.13,3892.53,6066.53,3237.47,5190.87,3857.53,3468.33,4671.67,5207.87,5392.27,4547.87,3425.93,5704.4,4082.87,3964.87,4507.47,4182.6,4361.87,4106.4,4655.67,4288.33,5152.2,4052.4,4905,4418.07,5682.07,4218.2,4586.27,2678.2,4804,4741.13,3972.27,2814.27,6271.73,5880.27,3574.6,2835.87,5657.87,5797.33,4494.47,
unitsGatheredByGroup_0_Basic23,67,67,67,67,67,133.5,94,91.5,146.1,154.1,53.4,398.3,352.2,238.6,327.9,376.6,277.3,720.2,540.3,800.1,483.7,1307.9,611.3,1457,861.2,947.9,1439.4,1063.6,1348.6,1015.3,1381.8,1253.1,1704.4,1102.7,1097.1,2411.3,1465.2,2960,2201.7,2655.1,1793.1,1754.7,2288.5,2387.6,2833.5,1648.1,2376.6,3189.1,2710.8,2201.6,1541.7,2350.2,2622.4,3075.8,2203.4,2539.3,1810,2600.2,2699.1,2282.4,2450.2,2247.6,2842.7,1760.7,2108.8,2136.6,2590.7,2917.8,2193.1,3170.5,2213.6,1876.6,2353.3,2235.9,3201.3,2155.4,2669.9,3246.8,2215.3,2221.6,2176.7,2113.4,2421.2,2655,2758.8,2911.8,1967,2525.8,2585.9,2159.5,2355.6,2443.7,2270,3116,2650.6,2502.9,2380.3,2038.8,2602.5,2178.3,
unitsGatheredByGroup_1_Basic23,67,68,68,69,70,131.2,116.2,100.2,181,189.6,154,391.4,425.8,676.6,633.2,541.6,683.4,2413.4,1681,2029.4,3031.4,3108.6,2513,5124.6,6759.8,7551.8,5644,2296.6,3972.8,6015.4,4914.6,6123.2,9706,7677.4,8914.2,7542.4,10329.8,14465.8,7007.6,6705.4,4418.2,9676.4,4995.2,5889.8,12023.4,8104,9738.8,3318.2,6327,6779,8038.4,11096.6,5481.8,12106,10032.6,9780.4,6550.4,9536.2,10091.4,4308.2,7931,7182.4,12514.2,6191,11355,7299.4,5223.6,8179.4,11237.4,9835.8,9216.4,6524.6,12406.6,7776.8,5492,9211.6,7208,6592,7888.6,9523.8,8511.6,11229.8,7314.8,9405,7736.6,11222.6,8720.6,8707.2,2862.8,10093,9512.2,7029.4,3902.8,12583.2,12339.6,5718,3747,12896,12187,9126.8,

unitsGatheredPerActiveAgent_Basic23,67,67.3333,67.3333,67.6667,68,133.933,135.867,104.467,137.333,156.4,167.933,38.4,207.4,188.2,212.533,217.467,221.733,232.4,462.333,518.867,593.6,565.733,512.733,547.733,801.133,952.533,1364.87,1304.47,1331,2032.07,2094.93,1963,2245.07,1962.93,3189.13,2282.33,2626.07,3036.93,2532.2,2295.67,2833.13,3965.8,3358.07,3717,4434.6,3678.67,5744.67,4439.33,2983.8,4594.6,4331.33,4361.6,4949,5099.07,3378.73,3907.8,5197.27,4066.07,4784.93,4174,5666.4,5306.6,4522.2,2662.67,5703.8,4404.47,5095.87,2930.47,3136.93,4975.4,4545.47,4236.33,2004.6,4550.13,5966.33,3549.47,1910.73,5908.47,5538.93,3396.47,2618.13,4343.73,4514.07,5948.87,3174.93,4748.33,4404.33,3568.47,3869.27,4598.47,4198,5341.4,2452.53,3872.2,3506.6,5106.07,4255.13,4142.07,4457,5813.93,
unitsGatheredByGroup_0_Basic23,67,67,67,67,67,127.3,121.2,105,123.5,135.5,133.5,32.9,192.9,150.6,170.7,169.9,170.4,172.6,305.5,340.2,241.6,385.6,354.9,175.4,419.9,464,360.2,576.8,378.1,1107.1,841.2,1023.5,1001.4,753.9,1013.6,988.3,1267.2,1035.4,882.8,1861.4,1452.9,2235.1,1567.4,2138.6,1829.6,1837.4,2286.3,1953.7,1227.9,1834.2,2245.3,1701.1,1482.4,2651,2196,2356.4,1734.7,1891.6,1664.5,2663.1,2224.8,2282.6,2128.4,1970,2142.3,1635.7,2164.3,2176.3,2770.8,2162,1678.3,2614.4,1577.2,2183.3,1926.6,2413.8,1580.1,2740.3,2558.2,2154.1,2076.6,1685.4,1209.8,2713.8,2248.5,2534.9,2340.6,1555.2,1769.1,1904,2486.4,2497.5,2175.1,2243.4,1506.1,1893.7,2764.5,2714.6,1145.8,2472.4,
unitsGatheredByGroup_1_Basic23,67,68,68,69,70,147.2,165.2,103.4,165,198.2,236.8,49.4,236.4,263.4,296.2,312.6,324.4,352,776,876.2,1297.6,926,828.4,1292.4,1563.6,1929.6,3374.2,2759.8,3236.8,3882,4602.4,3842,4732.4,4381,7540.2,4870.4,5343.8,7040,5831,3164.2,5593.6,7427.2,6939.4,6873.8,9644.6,7361.2,12661.4,9410.6,6495.6,10115.4,8503.4,9682.6,11882.2,9995.2,5744.2,7010.6,12122.4,8415,11025.8,7195.8,12549.6,11354.6,9309.8,4048,12826.8,9942,10959,4438.8,3869.2,10602.2,10279.8,7480.2,2859.4,9283.8,14045.8,5820.8,2572,12244.8,11500.4,5881.2,3701.2,9660.4,11122.6,12419,5027.8,9175.2,8531.8,7595,8069.6,9987.4,7621.2,11029.2,3007.4,7129.8,7507.6,11530.8,7236.4,6997,11079.4,12497,

unitsGatheredPerActiveAgent_Basic23,67,67.3333,67.3333,67.6667,68,68.6667,69.3333,138.933,109.133,160.933,159.467,107.067,115.267,252.467,422.667,515.867,499.067,397,410,573.667,571.467,697,766.4,1326.13,2001.33,1023.2,1443.07,1805.13,1963.13,1482.27,2108.4,3026,3445.47,2722.6,2506.8,2097.93,3817.73,2969.13,3346.53,3175.8,2123.8,2922.73,5385.87,5300.87,4288.4,2390.87,3453.87,4625.6,5158.07,4488.6,2731.13,3403.27,6864.67,3438.53,3307.8,4598.13,4722.33,5616.73,3518.4,3494.6,5133.73,6686.6,2892.87,2201,4965.73,5740.8,3798.2,2969.53,3983.73,6621,4474.93,3149.67,4139.6,4909.8,5269.73,3082.33,4590.47,4734.93,6053.27,4255.2,2815.33,4489.8,5089.87,5341.4,3874.33,3101.93,5628.93,5492.33,3349.47,3799.4,5381.93,5906.93,3732.33,3033.33,5143.73,5696.6,3495.67,4453.33,3731.4,5115.27,
unitsGatheredByGroup_0_Basic23,67,67,67,67,67,67,67,129.9,98.4,134.4,131.6,105.3,101.2,213,102.4,422.3,301.9,320.6,241.6,399,399.7,441.5,490.2,376.1,1312.7,374.5,768.5,780.3,964,772.7,889,1147.8,901.7,935.8,1434.4,1219.5,1394.9,1790.6,1757,1718.5,1321.6,2635.6,2729.9,2050.6,2065.8,2173.9,2077,2110.4,2928.3,1799.5,1854.7,2332.6,3426.2,2215.3,1687.7,2452.4,2128.7,2702.6,2363.3,2750.3,1929.2,3204.5,2080.6,1823.1,2758,3253,2489.5,1316.6,2426.3,2931.4,2483,2683.5,2704.9,2330.7,2545.1,2748.5,3338.5,1863.4,2381.8,2878.4,2587.1,2638.7,1926,3301.8,2758.5,2271.6,3032.2,1470.9,2892.2,3010.8,2967.2,2285,2533.7,2464.3,2414.4,2313.1,3044.8,2697.7,2376.2,2984.6,
unitsGatheredByGroup_1_Basic23,67,68,68,69,70,72,74,157,130.6,214,215.2,110.6,143.4,331.4,1063.2,703,893.4,549.8,746.8,923,915,1208,1318.8,3226.2,3378.6,2320.6,2792.2,3854.8,3961.4,2901.4,4547.2,6782.4,8533,6296.2,4651.6,3854.8,8663.4,5326.2,6525.6,6090.4,3728.2,3497,10697.8,11801.4,8733.6,2824.8,6207.6,9656,9617.6,9866.8,4484,5544.6,13741.6,5885,6548,8889.6,9909.6,11445,5828.6,4983.2,11542.8,13650.8,4517.4,2956.8,9381.2,10716.4,6415.6,6275.4,7098.6,14000.2,8458.8,4082,7009,10068,10719,3750,7094.4,10478,13396.2,7008.8,3271.8,8192,11417.6,9420.6,6106,4762.6,10822.4,13535.2,4264,5376.6,10211.4,13150.8,6129.6,4171.4,10602.4,12463.6,4397.4,7964.6,6441.8,9376.6,

unitsGatheredPerActiveAgent_Basic23,67,68,68,69,70,72,147.133,113.133,101.267,171.133,432.4,321.467,254.4,483.4,516.867,847.133,789.733,1203.33,1878.4,1792,2935.47,2255.93,3209.4,2291.93,4112.73,4132.67,5073.73,4880.8,5333.6,7499.47,4156.27,6808.93,11365.4,5442.8,7015.67,6602.93,8877.6,5919.47,7216.6,8017,9983.8,10177.9,6757,7134,8594.47,7635.8,6351.8,7403.2,10323.1,8287.67,6796.33,8747.47,8599.4,8453.8,6575.6,9464.33,8827,7090.67,7367.93,8699.8,7191.6,8805.47,9159.13,10215.1,6740.4,8089.27,7873.87,8548.33,9276.93,8771.27,7308.2,9680.4,9297,6283.2,7394.07,10185.6,7804.73,7773.07,7667.27,9546.27,7346.27,9889.4,8516.33,6781.4,8863.8,10217.3,7252.87,8405.93,8432.47,9747.4,8265.2,9112.67,9196.33,8943.67,7894.33,7311.6,8209.13,9207.73,8597.73,6730.07,
unitsGatheredByGroup_0_Basic23,67,68,68,69,70,72,147.133,113.133,101.267,171.133,432.4,321.467,254.4,483.4,516.867,847.133,789.733,1203.33,1878.4,1792,2935.47,2255.93,3209.4,2291.93,4112.73,4132.67,5073.73,4880.8,5333.6,7499.47,4156.27,6808.93,11365.4,5442.8,7015.67,6602.93,8877.6,5919.47,7216.6,8017,9983.8,10177.9,6757,7134,8594.47,7635.8,6351.8,7403.2,10323.1,8287.67,6796.33,8747.47,8599.4,8453.8,6575.6,9464.33,8827,7090.67,7367.93,8699.8,7191.6,8805.47,9159.13,10215.1,6740.4,8089.27,7873.87,8548.33,9276.93,8771.27,7308.2,9680.4,9297,6283.2,7394.07,10185.6,7804.73,7773.07,7667.27,9546.27,7346.27,9889.4,8516.33,6781.4,8863.8,10217.3,7252.87,8405.93,8432.47,9747.4,8265.2,9112.67,9196.33,8943.67,7894.33,7311.6,8209.13,9207.73,8597.73,6730.07,
