,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
unitsHeldPerActiveAgent_Basic23,67,122.267,164.667,196.333,224.267,291,303.4,304.867,390.467,466.867,416.333,708.8,915.6,1090.27,1267.33,1414.33,1501.8,2467.13,2851.33,3461.4,4042,5108.4,5254,6866.73,8258.47,9712.73,10576.5,9854.6,10063.9,10676.7,11051.9,11647.5,13645.5,14142.2,14954.6,16021.4,17172.2,20509.5,20136.7,20082.4,18673.7,19252.9,18511.9,18297.7,20525.7,20129.3,20881.3,19896.5,19788.5,19509.3,19237.1,20630.1,20027.1,22079.7,22422,22806.9,21559.2,22128.1,22815.9,21159.8,21146.2,20738.7,22649.6,21279,22182.3,21523.9,20623.5,21122.7,22037.2,22991.1,22870.6,21665.5,23009.7,22432.6,21868.1,21941.7,21670.8,21680.9,21365.5,21697.9,21569.7,22356.7,21851.4,22338.3,22238.7,23431,22908.8,22858,20919,21501.8,21894,21449.6,19935.1,22195.2,23594.1,22392.7,20680.5,22146.5,23490.8,23206,
unitsHeldByGroup_0_Basic23,67,123.1,164.7,196.1,222.1,283.6,292.1,297.8,373,438.4,387.1,689.1,886.8,908.3,1018.4,1184.7,1320.5,1831.2,2113.1,2658.8,2842.1,3843.8,4153.9,5026.3,5150.1,5676,5998.2,5699.3,5970.6,5761.4,6267,7287.9,7408.1,6912.9,8043.9,8752.3,8331.3,9553.2,9727.4,10391.9,9848.1,9539,9802.9,10183.1,10918.4,10240.7,10392.4,11480.6,11776.4,11488.3,10491.3,10701.5,11836.7,12463.3,12065.7,12084.8,11354.4,11608.2,11923.9,11742,11701.8,11490,11951.4,11240,10981.1,10785.1,11104.9,11744.2,11414.3,12249.6,11851.1,11277.3,11320.5,11135.9,12069.4,11655.5,11946.5,12748.8,12203.6,11818.6,11548,11237.6,11295,11553.1,11906.3,12378.1,11687.3,11729.5,11922,11615.9,11490.7,11569.8,11465,12155.3,12237.6,12224.5,12063.7,11548.7,11709.3,11380.4,
unitsHeldByGroup_1_Basic23,67,120.6,164.6,196.8,228.6,305.8,326,319,425.4,523.8,474.8,748.2,973.2,1454.2,1765.2,1873.6,1864.4,3739,4327.8,5066.6,6441.8,7637.6,7454.2,10547.6,14475.2,17786.2,19733,18165.2,18250.6,20507.2,20621.8,20366.6,26120.4,28600.8,28776,30559.6,34854,42422.2,40955.4,39463.4,36324.8,38680.8,35930,34527,39740.2,39906.6,41859,36728.4,35812.6,35551.4,36728.6,40487.2,36407.8,41312.4,43134.6,44251,41968.8,43168,44599.8,39995.4,40035,39236,44046,41357,44584.6,43001.4,39660.8,39879.6,43283,44474,44909.6,42442,46388.2,45026,41465.6,42514,41119.4,39545.2,39689.4,41456.6,41613,44594.8,42964.2,43908.6,42903.4,45536.8,45351.8,45115,38913,41273.6,42700.6,41209.2,36875.4,42275,46307.2,42729,37914,43342,47053.8,46857.2,

unitsHeldPerActiveAgent_Basic23,67,120.533,163.267,200.867,229.8,295.267,360.8,361.333,415.8,481.933,546.8,417.333,535.533,603.333,683.467,750.133,805.067,866.2,1130,1403.27,1695.13,1894,2012.53,2110.4,2457.2,2889.93,3634.6,4188.2,4611.67,5682.73,6596.8,7186,7952.47,8272.4,9783.8,10066.7,10635.2,11495.3,11664,11578.1,12015.5,13547.1,14118.9,14953.6,16345.5,16666.3,19063.5,19665.5,18626.9,19453.5,19853.1,20190.3,21054.6,21913.9,20865.8,20558.2,21591.7,21275.3,21773.5,21560.3,22870.7,23529.1,23316.5,21242.3,22641.8,22454.1,23033.9,21298.4,20130.4,21038.7,21341.5,21283.1,18942,19659.9,21646.7,20815.3,18478.3,20652.1,22038.3,20959.1,19317.7,19748.1,20259.4,22169.2,20865.7,21392.3,21462.9,20650.4,20342.4,20800,20779.2,21919.1,19905.3,19759.7,19253.3,20450.5,20584.8,20567.1,20838.1,22447.8,
unitsHeldByGroup_0_Basic23,67,120.3,163,200.7,230.2,293.3,345,354.6,395.9,445.4,484.4,383.3,493.2,530.3,583.1,617.6,645.6,681.9,859.4,1041.4,1182.8,1397.1,1532.1,1426.7,1649.6,1887.5,2094.6,2548.7,2862.6,3754.3,3998.3,4688.1,4949.2,4808.6,5109.9,5112.8,5368.2,5560.2,5209.7,5905.6,6930.2,7816.6,7671.1,8708.7,9742,10583.6,10410.7,10387,10009.6,10072.8,10215.8,9715.1,9713.7,10495,10493.3,10559.9,10064.2,10618.1,10059.5,10645.2,10652.1,10600.5,10476.1,10178.1,10237.9,9736.5,9892.1,9984.5,10701.2,10652.2,10142.7,10738.3,9986.2,10178.1,9976.7,10354.3,9777.6,10528.4,10955.2,10876,10702.6,10158.9,9211.1,10073.7,10222.1,10689.9,10837.2,10053.6,9734.4,9600.7,10124.4,10524,10469.3,10585.2,9832,9672.5,10492.8,11090.1,9836.7,10288.4,
unitsHeldByGroup_1_Basic23,67,121,163.8,201.2,229,299.2,392.4,374.8,455.6,555,671.6,485.4,620.2,749.4,884.2,1015.2,1124,1234.8,1671.2,2127,2719.8,2887.8,2973.4,3477.8,4072.4,4894.8,6714.6,7467.2,8109.8,9539.6,11793.8,12181.8,13959,15200,19131.6,19974.6,21169.2,23365.4,24572.6,22923,22186.2,25008.2,27014.4,27443.4,29552.4,28831.8,36369.2,38222.4,35861.4,38214.8,39127.6,41140.8,43736.4,44751.6,41610.8,40554.8,44646.6,42589.8,45201.4,43390.4,47308,49386.4,48997.4,43370.8,47449.6,47889.4,49317.4,43926.2,38988.8,41811.6,43739.2,42372.6,36853.6,38623.4,44986.8,41737.4,35879.8,40899.4,44204.6,41125.4,36548,38926.6,42356,46360.2,42153,42797,42714.2,41844,41558.4,43198.6,42088.8,44709.2,38777.4,38108.8,38096,42006.4,40768.8,39521.2,42840.8,46766.6,

unitsHeldPerActiveAgent_Basic23,67,120.133,163.2,196.867,227.067,249.467,270,332.333,342,426.467,491,467.467,458,605.6,878.667,1196.6,1425.87,1506.67,1580.47,1807.67,1981.53,2257.2,2554.93,3313.6,4627.2,4681.07,5136.53,5876.13,6620.47,6729.47,7439.4,8943.07,10570.5,11131.9,11369.5,11133.3,12681.4,13055.8,13723.3,14100.7,13355.7,13551.4,16192.1,18169.6,18793.9,17360.9,17263.3,18376.7,19842.1,20295.6,18888.4,18448.2,21600.3,20665.5,19756.7,20379,20993.9,22363.7,21308.6,20486.4,21446.5,23840.8,21873.2,19612.5,20608.7,22201.4,21498,20083.3,19970.1,22587.1,22493.1,21105,20951,21610.7,22498.6,21021,21368.8,21777.6,23446.7,22947.8,21096.8,21315.5,22082.9,22950.9,22195,20772.1,22219.2,23191.5,21856.5,21242.6,22318.9,23733.1,22629.4,21034.4,21920.9,23171.9,21978.7,21964.3,21240.2,22058.1,
unitsHeldByGroup_0_Basic23,67,120.3,163.8,195.3,225.5,245.5,266.1,319.7,323.8,383.3,431.4,404.6,403.7,517.8,542.9,860,982.6,1169.8,1208,1418.2,1632,1741.9,1940.6,2140.2,3341.8,3295.2,3716.8,3984.2,4502.3,4888.8,5186.4,5799.8,5987.8,6381,6765.9,6725,6749.3,7542.8,7701.9,8407.3,7819.6,8812.6,9882.3,9813.5,9888.1,10029.2,10003.7,10053.1,10939.9,10434.9,10138.4,10394.5,11726,11497.4,10785.5,11034.4,10882,11357.2,11358.4,11785.2,11273.7,12198.7,11752,11158.3,11640.2,12564.6,12490.5,11227.7,11346.3,11949.8,11980.8,12233.4,12422.3,12194.2,12258.7,12504.9,13294.3,12428.3,12286.9,12675.5,12684.4,12715.4,12014.4,12873.8,13008.5,12611.1,13096.2,11838.1,12323.4,12822.2,13145.7,12735.6,12641.6,12496.4,12342.2,12107.4,12709,12791.5,12534.7,12990.6,
