,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
unitsTradedForDevicePerActiveAgent_Basic23,0,0,0,0,0,14.8667,23.5333,22.2667,0,0,137.133,0,46.0667,116.6,106.4,101.6,232.867,218.333,405.733,423.733,889.267,598.2,1603.8,390.733,885.667,1052.2,723.2,548.933,786.467,383.4,728.267,2023.07,778.8,769.267,2353.73,326.467,1026,477.333,645.2,564.933,934.467,830.067,609.667,1354,289.6,951.667,574,136.133,723.067,852.933,965.733,709.6,1239.6,713.067,657.933,526.2,935.333,427.333,505.667,849.2,648.267,536.867,543.2,1001.27,615.533,618.2,809.133,801.133,635.867,268.933,781.733,783.733,710.667,1171.27,491.2,767.533,410.733,441.333,875.867,725.267,695.6,812,986.8,550.4,584.533,339.267,1161.4,916.933,544.267,649.4,826.267,560.933,904,427.133,796.533,530.533,709.133,879.867,501,1201.87,
unitsTradedForDeviceByGroup_0_Basic23,0,0,0,0,0,15.5,24.4,21.4,0,0,127.2,0,34.2,138.1,98.6,51.2,108.7,133.2,326.8,289.6,522.7,390.8,973.5,217.5,655.3,621.8,276.1,680.2,394.1,437.7,679.3,1676,1136.1,1153.9,1883.9,489.7,1539,716,967.8,847.4,1401.7,1245.1,914.5,851.1,434.4,1427.5,861,204.2,1084.6,1279.4,1448.6,1064.4,992.4,1069.6,986.9,789.3,1403,641,758.5,1273.8,972.4,805.3,814.8,1501.9,923.3,927.3,1213.7,1201.7,953.8,403.4,1172.6,1175.6,1066,1756.9,736.8,1151.3,616.1,662,1313.8,1087.9,1043.4,1218,1480.2,825.6,876.8,508.9,1742.1,1375.4,816.4,974.1,1239.4,841.4,1356,640.7,1194.8,795.8,1063.7,1319.8,751.5,1802.8,
unitsTradedForDeviceByGroup_1_Basic23,0,0,0,0,0,13.6,21.8,24,0,0,157,0,69.8,73.6,122,202.4,481.2,388.6,563.6,692,1622.4,1013,2864.4,737.2,1346.4,1913,1617.4,286.4,1571.2,274.8,826.2,2717.2,64.2,0,3293.4,0,0,0,0,0,0,0,0,2359.8,0,0,0,0,0,0,0,0,1734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
unitsTradedForDeviceCrossGroup_Basic23,0,0,0,0,0,5.26667,7.6,12.8,0,0,85.3333,0,29.6,46.8,68.6,59.4,129.8,134.133,208.133,252.4,414.133,386.6,724.667,249.667,414.2,667.2,162.6,242.667,149,151.133,319.533,1070.47,100.2,27.4,1124.8,23.6667,34.2,24.1333,35.2667,22.8,128.067,8.86667,34.6667,56.8667,35.4667,29.3333,70.2,9.33333,50.3333,51.7333,106.933,17.1333,695.333,37.6,27,30.6667,32.5333,31.6,17.3333,24.6,71.2667,48,33.2667,4.2,24.5333,37.4667,46.8,22.4,71,12.5333,70.4667,8.86667,18.2,66.8,17.4,59.9333,0,24.4667,89.3333,68.1333,13.4667,31.8,40,55,28.0667,14.3333,71.3333,64.2667,13.4667,37.0667,67.4667,17.6,9.93333,67.9333,59.6667,14.3333,35.8,45.9333,60.3333,49.5333,
unitsTradedForDeviceWithinGroup 0_Basic23,0,0,0,0,0,7.6,19.7,14.2,0,0,76.9,0,17.8,97.7,45,20.1,82,72.3,249.2,201.3,370,249,705.7,163.7,519.9,456.6,184,447.5,331.1,342,598.1,1411,1017.9,1112.8,1791.8,454.2,1487.7,679.8,914.9,813.2,1209.6,1231.8,862.5,805.5,381.2,1383.5,755.7,190.2,1009.1,1201.8,1288.2,1038.7,816.4,1013.2,946.4,743.3,1354.2,593.6,732.5,1236.9,865.5,733.3,764.9,1495.6,886.5,871.1,1143.5,1168.1,847.3,384.6,1066.9,1162.3,1038.7,1656.7,710.7,1061.4,616.1,625.3,1179.8,985.7,1023.2,1170.3,1420.2,743.1,834.7,487.4,1635.1,1279,796.2,918.5,1138.2,815,1341.1,538.8,1105.3,774.3,1010,1250.9,661,1728.5,
unitsTradedForDeviceWithinGroup 1_Basic23,0,0,0,0,0,13.6,8.4,0,0,0,1.6,0,13.8,14,23.4,86.4,145.2,108,94.4,111.4,685.4,136.8,1226,95.8,374.6,241.8,1313.8,23.8,1250.2,12.8,30,35.8,0,0,103.2,0,0,0,0,0,0,0,0,2280.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
unitsTradedForResPerActiveAgent_Basic23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
unitsTradedForResByGroup_0_Basic23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
unitsTradedForResByGroup_1_Basic23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
unitsTradedForResCrossGroup_Basic23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
unitsTradedForResWithinGroup 0_Basic23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
unitsTradedForResWithinGroup 1_Basic23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

unitsTradedForDevicePerActiveAgent_Basic23,0,0,0,0,0,14.6,0,31.6667,0,0,0,75.8667,0,0,0,0,0,0,163.4,59.4667,169.6,142.933,97.6667,489.667,271.067,212.2,548.867,336.4,1244.53,636.467,545.2,1017.33,487.933,860.733,1446.53,651.6,1011.13,649.2,1688.87,360.4,2081.53,467.8,901.467,1980.4,1659.33,1555.13,622.6,366.667,1451.93,944,361.933,794.2,1097.27,313.267,596.467,842.4,724.533,1625.87,425.733,180.267,697.867,917.133,844.6,605.667,505.8,973.133,375.333,492.6,332.133,426.2,897.467,183.533,1258.87,806.733,475.533,679.2,1256.4,102,172.467,717.667,679.333,1161.67,734.533,207.4,583.867,369.4,411.867,787.067,771.067,670.533,445.733,365.6,613.867,372.067,1003.87,895.4,197.933,231,929.533,407.667,
unitsTradedForDeviceByGroup_0_Basic23,0,0,0,0,0,13.8,0,27.5,0,0,0,57.8,0,0,0,0,0,0,132.5,32.4,99.4,98.7,31,449.7,188.1,123.5,179.9,89.8,884.9,381.2,325.9,578,322.9,649.4,423.5,748.3,653.9,576,852.5,528.8,1943.6,578.7,1331.6,1121.4,1362.4,1144,933.9,385.4,1537.7,1037.8,542.9,1191.3,1111.7,368.4,894.7,1263.6,1086.8,1541.4,638.6,270.4,895.1,1375.7,1266.9,908.5,758.7,1459.7,563,738.9,498.2,639.3,1346.2,275.3,1888.3,909.1,713.3,1018.8,1884.6,153,258.7,1076.5,1019,1742.5,1101.8,311.1,875.8,554.1,617.8,1180.6,1156.6,1005.8,668.6,548.4,920.8,558.1,1505.8,1343.1,296.9,346.5,1394.3,611.5,
unitsTradedForDeviceByGroup_1_Basic23,0,0,0,0,0,16.2,0,40,0,0,0,112,0,0,0,0,0,0,225.2,113.6,310,231.4,231,569.6,437,389.6,1286.8,829.6,1963.8,1147,983.8,1896,818,1283.4,3492.6,458.2,1725.6,795.6,3361.6,23.6,2357.4,246,41.2,3698.4,2253.2,2377.4,0,329.2,1280.4,756.4,0,0,1068.4,203,0,0,0,1794.8,0,0,303.4,0,0,0,0,0,0,0,0,0,0,0,0,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
